adult;original_title;overview;popularity;release_date;vote_average;vote_count
False;The Hunger Games: The Ballad of Songbirds & Snakes;Coriolanus Snow ejerce de mentor y desarrolla sentimientos hacia la tributo femenina del Distrito 12 durante los X Juegos del Hambre.;421.287;2023-11-15;7.246;745
False;ゴジラ-1.0;En el Japón de la posguerra surge un nuevo terror. ¿Podrán sobrevivir las personas devastadas... y mucho menos defenderse?;401.582;2023-11-03;8.1;136
False;Aquaman and the Lost Kingdom;Al no poder derrotar a Aquaman la primera vez, Black Manta, todavía impulsado por la necesidad de vengar la muerte de su padre, no se detendrá ante nada para derrotar a Aquaman de una vez por todas. Esta vez Black Manta es más formidable que nunca y ejerce el poder del mítico Tridente Negro, que desata una fuerza antigua y malévola.  Para derrotarlo, Aquaman recurrirá a su hermano encarcelado Orm, el ex rey de la Atlántida, para forjar una alianza improbable. Juntos, deben dejar de lado sus diferencias para proteger su reino y salvar a la familia de Aquaman, y al mundo, de una destrucción irreversible.;385.932;2023-12-20;8.8;9
False;The Marvels;"Cuando sus obligaciones la envían a un agujero de gusano vinculado a un revolucionario kree, los poderes de Carol Danvers, la capitana Marvel, se entremezclan con los de Kamala Khan, también conocida como la Sra. Marvel y la sobrina de Carol, ahora astronauta de S.A.B.E.R., Monica Rambeau. Juntas, deberán salvar el universo como ""The Marvels"".";363.165;2023-11-08;6.507;693
False;デジモンアドベンチャー02 THE BEGINNING;En 2012, entre los eventos de Digimon Adventure tri. y Digimon Adventure: Last Evolution Kizuna, los DigiDestined de la edad adulta temprana (Daisuke, Miyako, Iori, Takeru Takashi, Hikari y Ken) deben reconciliar sus nuevas responsabilidades con sus socios Digimon. Pero Rui Owada, un joven misterioso, parece afirmar ser el primer humano en asociarse con un Digimon-Ukkomon. ¿Podría Rui realmente haber sido el primer DigiDestined?;325.101;2023-10-27;6.8;5
False;The Bad Guys: A Very Bad Holiday;Para poder llevar a cabo su superatraco navideño anual, Lobo y su banda de animales ladrones tendrán que conseguir que la ciudad recupere el espíritu festivo… ¡y rápido!;371.911;2023-11-30;6.839;59
False;PAW Patrol: The Mighty Movie;Cuando un meteorito mágico se estrella en Ciudad Aventura, los cachorros de la Patrulla Canina consiguen unos superpoderes que los transforman en ¡Los PODEROSOS CACHORROS! Para Skye, la más pequeña del equipo, sus nuevos poderes son un sueño hecho realidad. Pero las cosas se complican cuando Humdinger, el archienemigo de los cachorros que acaba de fugarse de la cárcel, se une a Victoria Vance, una desquiciada científica obsesionada con los meteoritos, y forman una alianza para robar los superpoderes y convertirse en supervillanos. Con el destino de Ciudad Aventura al filo del abismo, los Poderosos Cachorros tendrán que detener a los supervillanos antes de que sea demasiado tarde, y Skye descubrirá que hasta la más pequeña del equipo puede ser la que determine el resultado.;301.033;2023-09-21;6.9;189
False;Migration;Una familia de patos intenta convencer a su sobreprotector padre para que se vayan a las vacaciones de su vida.;290.265;2023-12-06;7.6;26
False;Wish;Asha y una pequeña bola de energía ilimitada llamada Star demuestran que cuando la voluntad de un ser humano valiente se conecta con la magia de las estrellas, pueden suceder cosas maravillosas.;283.722;2023-11-13;6.64;114
False;Napoleon;Una mirada personal a los orígenes del líder militar francés y su rápido y despiadado ascenso a emperador. La historia se ve a través de la lente de la relación adictiva y volátil de Napoleón Bonaparte con su esposa y único amor verdadero, Josefina.;294.611;2023-11-22;6.416;729
False;Saw X;Entre los acontecimientos de 'Saw' y 'Saw II', un enfermo y desesperado John Kramer viaja a México para someterse a un procedimiento médico arriesgado y experimental con la esperanza de encontrar una cura milagrosa para su cáncer, sólo para descubrir que toda la operación es una estafa para robar a  los más vulnerables. Armado con un nuevo propósito, el infame asesino en serie regresa a su trabajo, dándole la vuelta a los estafadores en su forma visceral característica a través de trampas tortuosas, trastornadas e ingeniosas.;271.52;2023-09-26;7.394;1265
False;Muchachos, la película de la gente;“Muchachos, la película de la gente”, narrada por Guillermo Francella y basada en un cuento de Hernán Casciari -autor de “La valija de Messi”- invita a los espectadores a sumergirse en el corazón de la hinchada argentina y volver a sufrir, reír, llorar y revivir los siete partidos del Mundial y sus festejos.;304.231;2023-12-07;6.7;3
False;The Naughty Nine;;287.317;2023-11-22;6.288;32
False;Retribution;"Un ejecutivo de un banco recibe, mientras conduce a sus hijos a la escuela, una amenaza de bomba dentro de su auto, el cual explotará si se detienen o salen del vehículo antes de conseguir una elevada suma de dinero. Remake de la película española de 2015 ""El Desconocido"".";262.594;2023-08-23;6.952;732
False;The Exorcist: Believer;Cuando su hija Angela y su amiga Katherine muestran signos de posesión demoníaca, se desata una cadena de acontecimientos que obligan al padre soltero Victor Fielding a afrontar el punto más bajo del mal. Aterrorizado y desesperado, busca a Chris MacNeil, la única persona viva que ha presenciado algo así antes.;225.741;2023-10-04;6.2;662
False;It's a Wonderful Knife;;219.485;2023-11-10;5.212;33
False;Candy Cane Lane;Después de que Chris, sin darse cuenta, haga un trato con una traviesa elfa llamada Pepper para mejorar sus posibilidades de ganar, ella lanza un hechizo mágico donde los 12 días de Navidad cobran vida y causan estragos en toda la ciudad. A riesgo de arruinar las fiestas para su familia, Chris, su esposa Carol y sus tres hijos deben correr contrarreloj para romper el hechizo de Pepper, luchar contra retorcidos personajes mágicos y salvar la Navidad para todos.;228.588;2023-11-29;6.401;181
False;Sound of Freedom;Narra la historia de Tim Ballard, un exagente de Seguridad Nacional de Estados Unidos que dejó su trabajo para dedicar su vida, sumergiéndose en el submundo del tráfico de personas a lo largo de hispanoamérica, a intentar salvar las vidas de cientos de niños.;216.27;2023-07-03;8.086;1599
False;Мавка: Лісова пісня;Mavka, un Alma del Bosque y su Guardián, se enfrenta a una elección imposible entre el amor y su deber como guardiana del Corazón del Bosque, cuando se enamora de un humano: el talentoso joven músico Lukas.;239.806;2023-03-02;7.314;543
False;Rebel Moon - Part One: A Child of Fire;Cuando una colonia pacífica en el borde de la galaxia se ve amenazada por los ejércitos del tiránico soberano llamado Balisarius, la gente desesperada envía a una joven con un pasado misterioso a buscar guerreros de los planetas vecinos para ayudarlos a resistir.;198.607;2023-12-01;8.0;8
False;Chicken Run: Dawn of the Nugget;Unas gallinas muy valientes hacen piña para salvar a las de su especie de un nuevo e inquietante peligro: una granja cercana donde ocurre algo muy sospechoso.;195.509;2023-12-08;7.636;66
False;Your Christmas or Mine 2;Han intercambiado la Navidad, otra vez. ¿Puede la relación de Hayley y James sobrevivir a otra Navidad familiar turbulenta o su futuro juntos se ha desviado?;226.55;2023-12-07;6.92;44
False;Mr. Monk's Last Case: A Monk Movie;Monk sale de la jubilación cuando la boda de su hijastra se vuelve trágica cuando su prometido muere en un accidente de puenting.;182.086;2023-12-08;7.1;30
False;Elijo creer;"
";201.605;2023-12-07;8.0;1
False;The Family Plan;Dan Morgan es muchas cosas: un marido devoto, un padre cariñoso, un reputado vendedor de coches. También es un exasesino. Y, cuando su pasado alcanza su presente, se ve obligado a embarcar a su ingenua familia en un viaje por carretera sin igual.;164.058;2023-12-14;7.571;84
False;The Velveteen Rabbit;William, de siete años, recibe un juguete nuevo por Navidad, conoce a un amigo que le durará toda la vida y entra en un mundo mágico.;170.365;2023-11-21;7.2;34
False;Family Switch;Poco antes de Navidad, el caos sacude a una familia: por una extraña conjunción cósmica, los padres intercambian sus cuerpos con los de sus hijos adolescentes.;184.351;2023-11-30;6.442;286
False;172 Days;;130.931;2023-11-23;6.0;10
False;Miraculous - le film;La superheroína, que ha cautivado los corazones de millones de fans en todo el mundo, llega por primera vez al cine. Ladybug tendrá que unir fuerzas con Cat Noir, la carismática y franca justiciera enmascarada, para luchar contra los supervillanos que amenazan con destruir París.;155.54;2023-07-05;7.8;685
False;Santa Mi Amor;Lucía (Ana Serradilla) es una exitosa profesionista y mamá soltera de Leo (Olivia Duflos), su hermosa y traviesa hija de 6 años, que está obsesionada con la Navidad y quien cree que su nacimiento se debe a un milagro navideño. Entre sus dos trabajos de tiempo completo (la maternidad y la arquitectura), no tiene tiempo ni ganas de volver a enamorarse, pero cuando a regañadientes accede a ir a una cita a ciegas con Sergio (David Chocarro), un chef guapo y agradable, el chispazo es innegable. Después de tener una relación a distancia por un año y de intentar navegar la logística de su noviazgo, la pareja decide que es momento de hacerlo oficial con Leo. Sin embargo, las cosas no salen exactamente como las tenían planeadas y a Lucía no le quedará de otra más que intentar convencer a la pequeña Leo de que Sergio es nada más y nada menos que su más grande ídolo: Santa Claus.;146.928;2023-12-07;7.906;16
False;Thanksgiving;"Tras un Black Friday en el que se producen disturbios que acaban en tragedia, un misterioso asesino inspirado en la festividad de Acción de Gracias aterroriza Plymouth, en Massachusetts – lugar de origen de la tristemente célebre festividad. Versión en largometraje del celebrado falso tráiler de Eli Roth para ""Grindhouse"".";130.356;2023-11-16;6.383;107
False;Higop;;181.331;2023-12-15;0.0;0
False;Animal;;128.264;2023-12-01;7.4;28
False;The Archies;Ambientado en la década de 1960 en la India, en el pueblo de montaña ficticio de Riverdale, Los Archies es un musical sobre hacerse adulto protagonizado por los adolescentes más populares del pueblo, Archie, Betty, Veronica, Jughead, Reggie, Ethel y Dilton.;114.766;2023-12-07;7.076;33
False;Cat Person;;125.157;2023-10-06;6.559;17
False;All Souls;Un joven informante confidencial es enviado a una peligrosa operación encubierta.;95.257;2023-12-08;7.188;17
False;君たちはどう生きるか;La película muestra el crecimiento psicológico de un adolescente a través de interacciones con sus amigos y su tío. Está basada en el libro de 1937 del mismo nombre escrito por Genzaburo Yoshino.;127.409;2023-07-14;7.239;272
False;Cuando acecha la maldad;En una aldea remota donde dos hermanos encuentran a un hombre infectado por un demonio que está a punto de dar a luz al mal mismo. En un momento en que el exorcismo parece ser de poca utilidad para protegerse del mal, después de advertir a los vecinos de la ciudad, deciden deshacerse del hombre, pero simplemente logran ayudarlo a librar el infierno.;125.115;2023-10-05;7.182;289
False;May December;Veinte años después de que el mediático romance entre Gracie Atherton-Yu (Julianne Moore) y su joven marido Joe escandalizara al país, con sus hijos a punto de graduarse en el instituto, se va a rodar una película sobre su historia. La actriz Elizabeth Berry (Natalie Portman) pasará un tiempo con la familia para intentar entender mejor a Gracie, a la que va a interpretar en la película, provocando que la dinámica familiar se deshaga bajo la presión de la mirada exterior.;121.397;2023-11-16;6.76;104
False;There's Something in the Barn;Una familia estadounidense cumple su sueño de regresar después de heredar una remota cabaña en las montañas de Noruega.;118.972;2023-11-02;7.296;49
False;Saltburn;Mientras lucha por encontrar su lugar en la Universidad de Oxford, el estudiante Oliver Quick (Barry Keoghan) se ve arrastrado al mundo del encantador y aristocrático Felix Catton (Jacob Elordi), que le invita a Saltburn, la extensa finca de su excéntrica familia, para pasar un verano inolvidable.;127.941;2023-11-16;7.2;47
False;Dashing Through the Snow;Eddie Garrick es un buen hombre al que no le gusta la Navidad. Cuando está pasando el rato con su hija Charlotte de nueve años en Nochebuena, se hace amigo de un hombre misterioso con un traje rojo llamado Nick.;115.828;2023-11-17;6.758;60
False;Journey to Bethlehem;Esta celebración musical de acción en vivo entrelaza melodías navideñas clásicas en nuevas canciones pop en un recuento infundido de música de la historia eterna de María y José y el nacimiento de Jesús.;88.052;2023-11-09;6.8;6
False;57 Seconds;Cuando un blogger de tecnología consigue una entrevista con un gurú de la tecnología y detiene un ataque contra él, encuentra un anillo misterioso que lo transporta 57 segundos al pasado.;124.262;2023-09-29;5.9;228
False;Poor Things;Bella Baxter es una joven revivida por el brillante y poco ortodoxo científico Dr. Godwin Baxter. Bajo la protección de Baxter, Bella está ansiosa por aprender. Hambrienta de la mundanidad que le falta, Bella se escapa con Duncan Wedderburn, un sofisticado y perverso abogado, en una aventura vertiginosa a través de los continentes. Libre de los prejuicios de su época, Bella se vuelve firme en su propósito de defender la igualdad y la liberación.;95.608;2023-12-07;9.063;8
False;Anatomie d'une chute;Sandra, una escritora alemana, vive con su marido Samuel y su hijo ciego, Daniel, en un chalé en medio de los Alpes franceses. Cuando Samuel fallece en misteriosas circunstancias, la investigación no puede determinar si se trata de un suicidio o de un homicidio. Sandra es arrestada y juzgada por asesinato, y el proceso pone su tumultuosa relación y su ambigua personalidad en el punto de mira;98.648;2023-08-23;7.8;421
False;Thriller 40;"Este documental rinde homenaje a ""Thriller"" de Michael Jackson, el disco más vendido de todos los tiempos. A través de grabaciones nunca antes vistas y entrevistas exclusivas, se cuenta la historia detrás de este icónico álbum y cómo catapultó a Michael Jackson al estatus de megaestrella. El documental ofrece una visión única del proceso creativo de Jackson, la producción del álbum y el impacto cultural que tuvo ""Thriller"" en la música y en la industria del entretenimiento a nivel mundial. Una celebración de la genialidad de uno de los artistas más influyentes de la historia de la música.";100.747;2023-12-02;8.6;7
False;O Primeiro Natal do Mundo;;93.597;2023-12-07;7.75;8
False;Warhorse One;Un Jefe Maestro de los Navy SEAL abatido a tiros debe guiar a un niño a un lugar seguro a través de un desafío de insurgentes talibanes hostiles y sobrevivir en la brutal naturaleza de Afganistán.;94.179;2023-06-30;7.2;188
False;Terrifier 2;Después de ser resucitado por una entidad siniestra, Art the Clown regresa al condado de Miles, donde debe cazar y destruir a una adolescente y a su hermano menor en la noche de Halloween.;93.485;2022-10-06;6.795;1512
False;Strays;Un perro abandonado se une a otros perros callejeros para vengarse de su antiguo dueño.;97.987;2023-08-17;7.56;558
False;It's a Wonderful Life;Es la vigilia de Navidad en Bedford falls, NY, y George Bailey está planeando suicidarse. Pero un ángel es enviado para detenerle en su intento. Él le enseñará a George las cosas maravillosas de su juventud, cómo salvó la vida de su hermano y la de otros que, gracias a haber conocido a George, son felices. Así, nuestro amigo descubrirá que... ¡La vida es realmente un tesoro maravilloso que debemos disfrutar!;118.409;1946-12-20;8.265;3925
False;La sociedad de la nieve;El 13 de octubre de 1972, el vuelo 571 de la Fuerza Aérea Uruguaya, fletado para llevar a un equipo de rugby a Chile, se estrella en un glaciar en el corazón de los Andes.;85.627;2023-12-15;7.5;2
False;The Holdovers;A nadie le gusta el profesor Paul Hunham (Giamatti), ni a sus alumnos, ni a sus compañeros, ni al director de la escuela secundaria donde trabaja, a todos les resulta exasperante su pomposidad y rigidez. Sin familia y sin ningún lugar a donde ir durante las vacaciones de Navidad de 1970, Paul se queda en la escuela para supervisar a los estudiantes que no han podido viajar a casa. Después de unos días, solo queda allí un estudiante: un problemático chico de 15 años llamado Angus, un buen estudiante cuyo mal comportamiento siempre amenaza con expulsarlo. Junto a Paul y Angus está la cocinera Mary (Randolph), una mujer afroamericana que atiende a hijos privilegiados y cuyo propio hijo perdió la vida recientemente en Vietnam. Estos tres náufragos tan diferentes formarán una improbable familia durante dos semanas muy nevadas en Nueva Inglaterra.;113.803;2023-10-27;7.708;142
False;Ocho apellidos marroquís;La muerte del patriarca de los Díaz-Aguirre pone patas arriba el perfecto universo de la familia. En su testamento, pide a su mujer que recupere el Sardinete, el primer pesquero de su flota, con el que inició sus negocios y que está criando herrumbre en un puerto marroquí. A Begoña, la hija del empresario, ir a por esa “vieja lata de sardinas” le parecen delirios de un viejo chocheando. Así que Carmen, decidida a rescatar el barco, encuentra un aliado inesperado en Guillermo, el ex de Begoña, quien confía en que un viaje romántico al sur reavive la llama del amor. Sin saber cómo van a traerse la embarcación, ponen todos rumbo a Marruecos y allí descubren que en su universo nunca nada había estado en su sitio. Y es que don José María, el patriarca, guardaba un secreto: una hija llamada Hamida.;99.654;2023-12-01;6.833;6
False;Silent Night;Un padre afligido representa su tan esperada venganza contra una pandilla despiadada en Nochebuena.;79.209;2023-11-30;6.589;45
False;Once Upon a Studio;Después de que todos los empleados del estudio se marchen tras una jornada de trabajo habitual, Mickey y Minnie Mouse se escapan de los cuadros de la pared y planean reunir a los personajes del estudio para hacerse una foto de grupo. En el corto aparecen 545 personajes de Disney Animation Studios, que provienen de todos sus largometrajes y cortos de animación para celebrar sus 100 años de historia.;86.991;2023-09-24;8.434;256
False;Un stupéfiant Noël !;En Nochebuena, Greg, un policía solitario y taciturno, no duda en dejar atrás a su hija para ir a una misión. Para darle una lección, Papá Noel decide conceder el deseo de su hija: que su padre se parezca a Richard Silestone, un personaje bonachón y endeudado de la película navideña que ella adora.;82.275;2023-12-07;5.554;28
False;Love Actually;En Londres, poco antes de las Navidades, se entrelazan una serie de historias divertidas y conmovedoras. 'Love Actually' es una manera abreviada de decir 'Love Actually Is All Around' y éste es precisamente el argumento de la película: mires a donde mires, encontrarás el amor en todas partes. Todos los personajes, cada uno a su manera (un primer ministro, una vieja estrella del rock, una asistenta portuguesa que sólo habla su idioma), están relacionados con los aspectos más divertidos, tristes, ingenuos y estúpidos del amor.;76.719;2003-09-07;7.113;6169
False;The Kill Room;Un asesino a sueldo, su jefe, una comerciante de arte y un plan de blanqueo de dinero convierten accidentalmente de la noche a la mañana a este asesino en una sensación vanguardista, que hace que se enfrente al mundo del arte y a los bajos fondos.;81.008;2023-09-14;6.3;83
False;It Lives Inside;Sam es una joven india-estadounidense desesperada por encajar en la escuela. Ella prefiere rechazar su cultura y su familia para ser como el resto de sus compañeros. Cuando un espíritu demoníaco mitológico se aferra a su antiguo mejor amiga, deberá aceptar su herencia para derrotarlo.;84.387;2023-09-06;5.794;97
False;Dumb Money;Nos descubre el disparatado caso real de gente corriente que consiguió jugársela a Wall Street y se hizo rica convirtiendo GameStop (una popular tienda de videojuegos y electrónica) en la empresa más candente del mundo. En medio de todo este embrollo se encuentra Keith Gill (Paul Dano), un tipo cualquiera que invirtió los ahorros de su vida en acciones y empezó a publicar sobre ello en redes sociales. Gracias a sus consejos bursátiles, su popularidad estalló, al igual que lo hizo su vida y la de todos sus seguidores, que empezaron a enriquecerse de la noche a la mañana. No obstante, los multimillonarios no tardaron en contratacar, desencadenando una de las batallas financieras más feroces vividas en Wall Street.;63.927;2023-09-15;6.745;157
False;Urkel Saves Santa: The Movie!;;87.97;2023-11-21;5.308;13
False;In the Land of Saints and Sinners;Sigue a un asesino retirado que se ve envuelto en un juego letal del gato y el ratón con un trío de terroristas vengativos.;66.642;2023-10-06;6.62;50
False;Past Lives;La familia de Nora emigra a Canadá cuando ella tiene 10 años. Pierde el contacto con su amor de la infancia. Muchos años después, cuando Nora está estudiando teatro en Nueva York, se reencuentra con él online.;69.541;2023-06-02;7.904;363
False;Bihter;Se centra en la historia de amor prohibido entre Bihter y Behlül.;71.234;2023-11-16;5.375;32
False;Nouveaux riches;Un estafador sin un duro y una mujer con una fortuna en criptomonedas congenian al instante. ¿Será ella la solución a todos sus problemas o va a ser el timador timado?;74.749;2023-11-17;5.696;51
False;Plane;En la noche de fin de año, el piloto experto Brodie Torrance (Gerard Butler) realiza un arriesgado aterrizaje cuando su avión, repleto de pasajeros, es alcanzado por un rayo. Perdidos en medio de una isla devastada por la guerra, Torrance se dará cuenta que sobrevivir al vuelo sólo ha sido el principio de una trepidante aventura llena de peligros. El piloto deberá usar todo su ingenio para llevar a los pasajeros a sus destinos sanos y salvos.;72.546;2023-01-12;6.994;1895
False;The Harbinger;Monique sale de la cuarentena para visitar a una vieja amiga que está atormentado por pesadillas. Allí, se encuentra atrapada en un paisaje onírico infernal en el que tendrá que afrontar sus mayores miedos.;58.238;2023-11-16;10.0;1
False;Priscilla;Cuando la adolescente Priscilla Beaulieu conoce a Elvis Presley en una fiesta, él ya es una meteórica superestrella del rock and roll pero se convierte en alguien totalmente inesperado en momentos privados: un apasionante flechazo, un aliado en la soledad, un vulnerable mejor amigo. Película basada en las memorias 'Elvis and Me', escritas por Priscilla Beaulieu Presley, publicadas en 1985 y que relatan el largo noviazgo y turbulento matrimonio de Elvis y Priscilla, desde una base militar alemana hasta su finca de ensueño en Graceland.;66.429;2023-10-27;7.1;50
False;Heroico;Luis, adolescente de origen nativo americano, se inscribe en un colegio militar en busca de un futuro mejor. Sus nuevos compañeros y él se ven sometidos a un sistema jerárquico brutal, en el que los alumnos veteranos humillan a los recién llegados.;90.723;2023-09-21;7.206;17
False;Megalomaniac;Cuestiona la línea invisible entre víctima y ejecutor, y cómo se cruza. Una película sobre el peso del patriarcado y la ilusión del maniqueísmo.;71.815;2023-09-08;6.2;16
False;Die Hard;John MacClane, un duro policía neoyorquino, acude a Los Angeles para pasar unos días de vacaciones con sus hijos y su esposa Holly. En el transcurso de la fiesta navideña que la empresa de Holly da en el moderno edificio Nakatoni, éste es asaltado por un supuesto grupo terrorista liderado por un megalomano llamado Hans Gruber.;72.307;1988-07-15;7.78;10372
False;Les Trois Mousquetaires : D'Artagnan;D'Artagnan, un intrépido joven, es dado por muerto tras intentar salvar a una joven de ser secuestrada. Cuando llega a París, intenta por todos los medios encontrar a sus agresores. Sin embargo, ignora que su búsqueda le llevará al corazón de una guerra en la que está en juego el futuro de Francia. Junto con Athos, Porthos y Aramis, tres valientes mosqueteros del rey, D'Artagnan se enfrenta a las oscuras maquinaciones del cardenal Richelieu y a la misteriosa Milady de Winter.;64.453;2023-04-05;7.126;783
False;Nefarious;Un asesino en serie convicto en el día que está programado para su ejecución, afirma ser un demonio y pasa por una evaluación psiquiátrica para determinar si está mentalmente apto para recibir su sentencia.;64.791;2023-04-14;7.0;140
False;İstanbul İçin Son Çağrı;Tras un encuentro fortuito en el aeropuerto, dos personas casadas viven una noche inolvidable llena de emoción, deseo y tentaciones en Nueva York.;61.707;2023-11-24;6.447;66
False;La Syndicaliste;La historia real de Maureen Kearney, la principal representante sindical de una potencia nuclear multinacional francesa. Se convirtió en denunciante, denunciando acuerdos de alto secreto que sacudieron el sector nuclear francés. Sola contra el mundo, luchó con uñas y dientes contra ministros del gobierno y líderes de la industria para sacar a la luz el escándalo y defender más de 50.000 puestos de trabajo. Su vida dio un vuelco cuando fue asaltada violentamente en su propia casa...;74.126;2023-03-01;7.2;80
False;The Abyss;Durante una tormenta, una plataforma submarina en ultra mar queda incomunicada de la superficie. Dentro de ella, además del equipo técnico de la propia plataforma, se encuentra un grupo de militares, que deben recuperar unas cabezas explosivas. Todo se complica con la aparición de unos extraños seres que vienen de las profundidades abisales.;59.356;1989-08-09;7.3;2653
False;Les trois mousquetaires : Milady;Desde el museo del Louvre al Palacio de Buckingham, pasando por las alcantarillas de París al asedio de La Rochelle... En un reino dividido por guerras religiosas y bajo la amenaza constante de la invasión británica, un grupo de hombres y mujeres empuñarán sus espadas y unirán su destino al de Francia.;60.2;2023-12-13;6.985;33
False;Så var det jul igjen;Cuando Thea invita a su prometido Jashan a conocer a su familia, el choque entre las tradiciones noruegas y las raíces indias del joven dan pie a una Navidad caótica.;62.709;2023-12-06;5.829;35
False;Ferrari;Verano de 1957. El ex piloto de carreras, Ferrari, está en crisis. La bancarrota acecha a la empresa que él y su esposa, Laura, construyeron de la nada diez años antes. Su tormentoso matrimonio se encuentra en medio de una gran crisis, mientras lidian con la muerte de su hijo. En esta crucial etapa, Ferrari tomará decisiones arriesgadas, apostándolo todo en una única carrera que atraviesa 1.000 millas a lo largo de toda Italia, la Mille Miglia.;57.255;2023-12-14;7.074;34
False;Haslers;;63.749;2023-12-08;0.0;0
False;Bottoms;Los impopulares mejores amigos PJ y Josie inician un club de autodefensa en la escuela secundaria para conocer chicas y perder su virginidad. Pronto se encuentran en una situación complicada cuando los estudiantes más populares comienzan a golpearse entre sí en nombre de la autodefensa.;59.981;2023-08-25;6.811;273
False;Desperation Road;Después de 11 años en una prisión estatal de Mississippi, Russell Gaines lucha por dejar atrás sus pecados pasados ​​mientras regresa a casa con su estoico padre, Mitchell. Una noche fatídica conoce a Maben, una joven madre que no tiene nada más que un arma robada y un agente de policía asesinado a su nombre. Desesperados y huyendo, Russell y Maben deben confiar el uno en el otro para escapar de sus propias circunstancias, antes de que las verdades de su pasado violento entrelazado amenace con destruirlos.;63.592;2023-10-19;7.0;59
False;Pattie et la colère de Poséidon;La vida transcurre en paz en Yolcos, una hermosa y próspera ciudad portuaria de la antigua Grecia, cuando la población se ve amenazada por la ira de Poseidón. Una ratoncita y el gato que la adoptó ayudarán sin darse cuenta al viejo Jason y sus Argonautas en su plan para salvar la ciudad. Pero la operación les llevará a enfrentarse a las criaturas más peligrosas de la mitología.;58.854;2023-01-25;6.9;53
False;Elf Me;Trip es un elfo poco convencional. Como ayudante de Santa, parece que sólo logra construir armas extrañas en lugar de juguetes. El destino le llevará a conocer a Elia, un chico tímido y poco convencional perseguido por una banda de matones. Los dos se ayudarán mutuamente y juntos descubrirán el valor de la amistad.;51.214;2023-11-24;5.84;47
False;The Marsh King's Daughter;;46.001;2023-09-28;6.755;53
False;シン・ウルトラマン;"Un alienígena que busca justicia persigue a un criminal hasta un planeta llamado Tierra. Para expiar sus pecados decide ceder su poder a un humano que se convierte en un héroe llamado a proteger su mundo. Así es como nace ""The Ultra Man"", una reimaginación del famoso superhéroe japonés omnipresente en la TV de la década de los años 60.";47.912;2022-05-13;7.1;106
False;Ganti-Ganti;;54.328;2023-12-01;0.0;0
False;Genie;;61.986;2023-11-22;7.39;68
False;EXmas;;56.553;2023-11-17;6.714;63
